id,NMHC(GT),C6H6(GT),NOx(GT),NO2(GT),AH,Year,Month,Day,DayOfWeek,Hour,result
1,150.0,11.9,166.0,113.0,0.7578,2004.0,3.0,10.0,2.0,18,2
2,112.0,9.4,103.0,92.0,0.7255,2004.0,3.0,10.0,2.0,19,1
3,88.0,9.0,131.0,114.0,0.7502,2004.0,3.0,10.0,2.0,20,2
4,80.0,9.2,172.0,122.0,0.7867,2004.0,3.0,10.0,2.0,21,2
5,51.0,6.5,131.0,116.0,0.7888,2004.0,3.0,10.0,2.0,22,1
6,38.0,4.7,89.0,96.0,0.7848,2004.0,3.0,10.0,2.0,23,1
7,31.0,3.6,62.0,77.0,0.7603,2004.0,3.0,11.0,3.0,0,1
8,31.0,3.3,62.0,76.0,0.7702,2004.0,3.0,11.0,3.0,1,0
9,24.0,2.3,45.0,60.0,0.7648,2004.0,3.0,11.0,3.0,2,0
10,19.0,1.7,0.0,0.0,0.7517,2004.0,3.0,11.0,3.0,3,0
12,8.0,1.1,16.0,28.0,0.7366,2004.0,3.0,11.0,3.0,5,0
13,16.0,1.6,34.0,48.0,0.7353,2004.0,3.0,11.0,3.0,6,0
14,29.0,3.2,98.0,82.0,0.7417,2004.0,3.0,11.0,3.0,7,1
15,64.0,8.0,174.0,112.0,0.7408,2004.0,3.0,11.0,3.0,8,1
16,87.0,9.5,129.0,101.0,0.7691,2004.0,3.0,11.0,3.0,9,2
17,77.0,6.3,112.0,98.0,0.7552,2004.0,3.0,11.0,3.0,10,1
18,43.0,5.0,95.0,92.0,0.7352,2004.0,3.0,11.0,3.0,11,1
19,61.0,5.2,104.0,95.0,0.7951,2004.0,3.0,11.0,3.0,12,1
20,63.0,7.3,146.0,112.0,0.8393,2004.0,3.0,11.0,3.0,13,1
21,164.0,11.5,207.0,128.0,0.8736,2004.0,3.0,11.0,3.0,14,2
22,79.0,8.8,184.0,126.0,0.8778,2004.0,3.0,11.0,3.0,15,2
23,95.0,8.3,193.0,131.0,0.8569,2004.0,3.0,11.0,3.0,16,2
24,150.0,11.2,243.0,135.0,0.8185,2004.0,3.0,11.0,3.0,17,2
25,307.0,20.8,281.0,151.0,0.8065,2004.0,3.0,11.0,3.0,18,2
26,461.0,27.4,383.0,172.0,0.8319,2004.0,3.0,11.0,3.0,19,3
27,401.0,24.0,351.0,165.0,0.8133,2004.0,3.0,11.0,3.0,20,3
28,197.0,12.8,240.0,136.0,0.7419,2004.0,3.0,11.0,3.0,21,2
29,61.0,4.7,94.0,85.0,0.6905,2004.0,3.0,11.0,3.0,22,1
30,26.0,2.6,47.0,53.0,0.6657,2004.0,3.0,11.0,3.0,23,0
31,55.0,5.9,122.0,97.0,0.6438,2004.0,3.0,12.0,4.0,0,1
32,53.0,6.4,133.0,110.0,0.6308,2004.0,3.0,12.0,4.0,1,1
33,40.0,4.1,82.0,91.0,0.6276,2004.0,3.0,12.0,4.0,2,1
34,21.0,1.9,0.0,0.0,0.6261,2004.0,3.0,12.0,4.0,3,0
36,7.0,1.0,30.0,44.0,0.6233,2004.0,3.0,12.0,4.0,5,0
37,17.0,1.8,56.0,71.0,0.6234,2004.0,3.0,12.0,4.0,6,0
38,33.0,4.4,109.0,104.0,0.6316,2004.0,3.0,12.0,4.0,7,1
39,202.0,17.9,307.0,141.0,0.6499,2004.0,3.0,12.0,4.0,8,2
41,208.0,14.0,187.0,122.0,0.632,2004.0,3.0,12.0,4.0,10,2
42,166.0,11.6,216.0,143.0,0.6243,2004.0,3.0,12.0,4.0,11,2
43,114.0,10.2,143.0,113.0,0.6195,2004.0,3.0,12.0,4.0,12,2
44,140.0,11.0,160.0,116.0,0.6262,2004.0,3.0,12.0,4.0,13,2
45,169.0,12.8,163.0,123.0,0.656,2004.0,3.0,12.0,4.0,14,2
46,185.0,14.2,190.0,126.0,0.661,2004.0,3.0,12.0,4.0,15,2
47,165.0,12.7,178.0,120.0,0.6657,2004.0,3.0,12.0,4.0,16,2
48,133.0,11.7,150.0,119.0,0.6549,2004.0,3.0,12.0,4.0,17,2
49,233.0,19.3,206.0,149.0,0.6766,2004.0,3.0,12.0,4.0,18,2
50,242.0,18.2,202.0,145.0,0.7084,2004.0,3.0,12.0,4.0,19,2
51,488.0,32.6,340.0,170.0,0.7478,2004.0,3.0,12.0,4.0,20,3
52,333.0,20.1,274.0,149.0,0.7536,2004.0,3.0,12.0,4.0,21,2
53,215.0,14.3,253.0,139.0,0.774,2004.0,3.0,12.0,4.0,22,2
54,367.0,21.8,300.0,134.0,0.7771,2004.0,3.0,12.0,4.0,23,3
55,122.0,9.6,193.0,113.0,0.7597,2004.0,3.0,13.0,5.0,0,2
56,67.0,7.4,139.0,97.0,0.7423,2004.0,3.0,13.0,5.0,1,1
57,43.0,5.4,83.0,82.0,0.7256,2004.0,3.0,13.0,5.0,2,1
58,46.0,5.4,0.0,0.0,0.7173,2004.0,3.0,13.0,5.0,3,1
60,30.0,2.6,62.0,65.0,0.6982,2004.0,3.0,13.0,5.0,5,0
61,27.0,2.9,53.0,60.0,0.6887,2004.0,3.0,13.0,5.0,6,1
62,47.0,5.1,139.0,77.0,0.6932,2004.0,3.0,13.0,5.0,7,1
63,132.0,11.8,256.0,96.0,0.6945,2004.0,3.0,13.0,5.0,8,2
64,239.0,15.1,295.0,119.0,0.7124,2004.0,3.0,13.0,5.0,9,2
65,160.0,12.9,250.0,126.0,0.7335,2004.0,3.0,13.0,5.0,10,2
66,283.0,16.1,296.0,158.0,0.7451,2004.0,3.0,13.0,5.0,11,2
67,210.0,14.0,239.0,161.0,0.709,2004.0,3.0,13.0,5.0,12,2
68,154.0,12.3,153.0,124.0,0.695,2004.0,3.0,13.0,5.0,13,2
69,112.0,8.6,118.0,102.0,0.7127,2004.0,3.0,13.0,5.0,14,1
70,108.0,9.2,119.0,116.0,0.7042,2004.0,3.0,13.0,5.0,15,1
71,111.0,10.2,138.0,124.0,0.7012,2004.0,3.0,13.0,5.0,16,2
72,97.0,10.6,148.0,125.0,0.7117,2004.0,3.0,13.0,5.0,17,2
73,191.0,15.5,227.0,148.0,0.7451,2004.0,3.0,13.0,5.0,18,2
74,258.0,19.6,277.0,165.0,0.7569,2004.0,3.0,13.0,5.0,19,2
75,284.0,19.2,279.0,161.0,0.7786,2004.0,3.0,13.0,5.0,20,2
76,269.0,18.3,283.0,159.0,0.8091,2004.0,3.0,13.0,5.0,21,2
77,180.0,13.1,214.0,143.0,0.806,2004.0,3.0,13.0,5.0,22,2
78,116.0,10.9,172.0,130.0,0.8193,2004.0,3.0,13.0,5.0,23,2
79,93.0,11.0,190.0,129.0,0.8498,2004.0,3.0,14.0,6.0,0,2
80,131.0,11.9,174.0,119.0,0.8536,2004.0,3.0,14.0,6.0,1,2
81,92.0,8.6,128.0,104.0,0.8537,2004.0,3.0,14.0,6.0,2,2
82,132.0,9.7,0.0,0.0,0.8674,2004.0,3.0,14.0,6.0,3,2
84,32.0,3.7,53.0,70.0,0.8533,2004.0,3.0,14.0,6.0,5,1
85,29.0,2.5,44.0,63.0,0.8473,2004.0,3.0,14.0,6.0,6,0
86,27.0,2.4,74.0,67.0,0.853,2004.0,3.0,14.0,6.0,7,0
87,36.0,4.2,101.0,84.0,0.853,2004.0,3.0,14.0,6.0,8,1
88,57.0,6.4,118.0,83.0,0.8627,2004.0,3.0,14.0,6.0,9,1
89,129.0,8.6,144.0,98.0,0.8728,2004.0,3.0,14.0,6.0,10,2
90,148.0,10.9,176.0,114.0,0.8789,2004.0,3.0,14.0,6.0,11,2
91,145.0,10.7,161.0,119.0,0.8474,2004.0,3.0,14.0,6.0,12,2
92,93.0,7.5,113.0,104.0,0.7812,2004.0,3.0,14.0,6.0,13,1
93,84.0,7.5,103.0,102.0,0.7616,2004.0,3.0,14.0,6.0,14,1
94,99.0,8.2,112.0,107.0,0.7525,2004.0,3.0,14.0,6.0,15,1
95,150.0,11.9,170.0,129.0,0.7516,2004.0,3.0,14.0,6.0,16,2
96,156.0,12.0,180.0,128.0,0.7696,2004.0,3.0,14.0,6.0,17,2
97,122.0,12.2,160.0,121.0,0.8307,2004.0,3.0,14.0,6.0,18,2
98,262.0,20.6,261.0,157.0,0.8732,2004.0,3.0,14.0,6.0,19,2
99,341.0,23.1,325.0,173.0,0.921,2004.0,3.0,14.0,6.0,20,3
100,214.0,14.7,217.0,146.0,0.932,2004.0,3.0,14.0,6.0,21,2
101,100.0,9.0,146.0,121.0,0.9341,2004.0,3.0,14.0,6.0,22,2
102,79.0,8.8,152.0,119.0,0.9314,2004.0,3.0,14.0,6.0,23,2
103,66.0,7.4,104.0,99.0,0.9164,2004.0,3.0,15.0,0.0,0,1
104,73.0,6.9,106.0,93.0,0.9094,2004.0,3.0,15.0,0.0,1,1
105,66.0,7.0,108.0,88.0,0.9361,2004.0,3.0,15.0,0.0,2,1
106,44.0,4.4,0.0,0.0,0.923,2004.0,3.0,15.0,0.0,3,1
108,39.0,3.9,88.0,74.0,0.9375,2004.0,3.0,15.0,0.0,5,0
109,51.0,6.4,138.0,80.0,0.9475,2004.0,3.0,15.0,0.0,6,1
110,107.0,9.7,228.0,89.0,0.9401,2004.0,3.0,15.0,0.0,7,2
111,336.0,25.9,360.0,114.0,0.917,2004.0,3.0,15.0,0.0,8,3
112,618.0,36.7,478.0,149.0,0.9076,2004.0,3.0,15.0,0.0,9,3
113,438.0,26.6,394.0,157.0,0.8993,2004.0,3.0,15.0,0.0,10,3
114,334.0,20.1,319.0,155.0,0.8801,2004.0,3.0,15.0,0.0,11,2
115,221.0,14.1,201.0,134.0,0.8904,2004.0,3.0,15.0,0.0,12,2
116,207.0,14.9,171.0,119.0,0.9096,2004.0,3.0,15.0,0.0,13,2
117,191.0,15.4,159.0,111.0,0.8757,2004.0,3.0,15.0,0.0,14,2
118,185.0,12.1,153.0,104.0,0.8736,2004.0,3.0,15.0,0.0,15,2
119,141.0,11.5,143.0,99.0,0.8848,2004.0,3.0,15.0,0.0,16,2
120,214.0,14.8,156.0,110.0,0.9137,2004.0,3.0,15.0,0.0,17,2
121,471.0,32.1,314.0,162.0,0.9547,2004.0,3.0,15.0,0.0,18,3
122,685.0,39.2,404.0,187.0,1.0086,2004.0,3.0,15.0,0.0,19,3
123,538.0,31.0,320.0,165.0,1.0945,2004.0,3.0,15.0,0.0,20,3
124,319.0,19.9,256.0,145.0,1.0786,2004.0,3.0,15.0,0.0,21,2
125,224.0,15.3,193.0,125.0,1.0654,2004.0,3.0,15.0,0.0,22,2
126,67.0,6.9,89.0,101.0,1.058,2004.0,3.0,15.0,0.0,23,1
127,155.0,11.1,127.0,103.0,1.0494,2004.0,3.0,16.0,1.0,0,2
128,49.0,5.4,79.0,88.0,1.0148,2004.0,3.0,16.0,1.0,1,1
129,29.0,2.8,43.0,61.0,0.9879,2004.0,3.0,16.0,1.0,2,0
130,25.0,2.3,0.0,0.0,0.9636,2004.0,3.0,16.0,1.0,3,0
132,17.0,2.0,38.0,52.0,0.9283,2004.0,3.0,16.0,1.0,5,0
133,27.0,3.5,82.0,64.0,0.9081,2004.0,3.0,16.0,1.0,6,0
134,50.0,5.1,99.0,70.0,0.8705,2004.0,3.0,16.0,1.0,7,1
