Day,Month,Year,Hour,PT08.S1(CO),C6H6(GT),PT08.S5(O3),PT08.S2(NMHC),PT08.S4(NO2),AQI_Label
10,3,2004,18,1360.0,11.9,1268.0,1046.0,1692.0,3
10,3,2004,19,1292.0,9.4,972.0,955.0,1559.0,3
10,3,2004,20,1402.0,9.0,1074.0,939.0,1555.0,3
10,3,2004,21,1376.0,9.2,1203.0,948.0,1584.0,3
10,3,2004,22,1272.0,6.5,1110.0,836.0,1490.0,3
10,3,2004,23,1197.0,4.7,949.0,750.0,1393.0,2
11,3,2004,0,1185.0,3.6,733.0,690.0,1333.0,2
11,3,2004,1,1136.0,3.3,730.0,672.0,1333.0,2
11,3,2004,2,1094.0,2.3,620.0,609.0,1276.0,2
11,3,2004,3,1010.0,1.7,501.0,561.0,1235.0,1
11,3,2004,4,1011.0,1.3,445.0,527.0,1197.0,1
11,3,2004,5,1066.0,1.1,422.0,512.0,1182.0,1
11,3,2004,6,1052.0,1.6,472.0,553.0,1221.0,1
11,3,2004,7,1144.0,3.2,730.0,667.0,1339.0,2
11,3,2004,8,1333.0,8.0,1102.0,900.0,1517.0,3
11,3,2004,9,1351.0,9.5,1028.0,960.0,1583.0,3
11,3,2004,10,1233.0,6.3,860.0,827.0,1446.0,3
11,3,2004,11,1179.0,5.0,671.0,762.0,1362.0,2
11,3,2004,12,1236.0,5.2,664.0,774.0,1401.0,3
11,3,2004,13,1286.0,7.3,799.0,869.0,1537.0,3
11,3,2004,14,1371.0,11.5,1037.0,1034.0,1730.0,3
11,3,2004,15,1310.0,8.8,946.0,933.0,1647.0,3
11,3,2004,16,1292.0,8.3,957.0,912.0,1591.0,3
11,3,2004,17,1383.0,11.2,1104.0,1020.0,1719.0,3
11,3,2004,18,1581.0,20.8,1409.0,1319.0,2083.0,4
11,3,2004,19,1776.0,27.4,1704.0,1488.0,2333.0,4
11,3,2004,20,1640.0,24.0,1654.0,1404.0,2191.0,4
11,3,2004,21,1313.0,12.8,1285.0,1076.0,1707.0,3
11,3,2004,22,965.0,4.7,821.0,749.0,1333.0,1
11,3,2004,23,913.0,2.6,552.0,629.0,1252.0,1
12,3,2004,0,1080.0,5.9,816.0,805.0,1375.0,2
12,3,2004,1,1044.0,6.4,832.0,829.0,1378.0,1
12,3,2004,2,988.0,4.1,692.0,718.0,1304.0,1
12,3,2004,3,889.0,1.9,512.0,574.0,1187.0,0
12,3,2004,4,831.0,1.1,384.0,506.0,1134.0,0
12,3,2004,5,847.0,1.0,394.0,501.0,1155.0,0
12,3,2004,6,927.0,1.8,487.0,571.0,1223.0,0
12,3,2004,7,1091.0,4.4,748.0,730.0,1361.0,2
12,3,2004,8,1587.0,17.9,1400.0,1236.0,1900.0,4
12,3,2004,9,1545.0,22.1,1588.0,1353.0,2058.0,4
